osm_link_id,model_link_id,ROUTE_SYS,OSMlanes,mndot,widot,anoka,hennepin,carver,dakota,washington,here,naive,dot,lanes,osm_latest,osm_latest_min,osm_latest_max,osm_latest_mode
76767461,263,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
18075199,264,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18075199,265,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
198244616,266,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198238726,267,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
198238726,268,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
5997825,269,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
231960252,270,10,0,0,0,0,0,0,0,0,0,1,0,1,,,,
636334395,271,5,0,1,0,0,0,0,0,0,1,1,1,1,,,,
198244625,272,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244625,273,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244617,274,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244625,275,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244625,276,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244616,277,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244625,278,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244625,279,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18218485,280,5,0,2,0,0,0,0,0,0,2,1,2,2,,,,
"221,685,888,221,685,000,000,000,000",281,10,0,2,0,0,0,0,0,0,1,1,2,2,,,,
221685900,282,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18217930,283,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18218485,284,5,0,2,0,0,0,0,0,0,2,1,2,2,,,,
18218485,285,5,0,2,0,0,0,0,0,0,2,1,2,2,,,,
76767466,286,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767470,287,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767470,288,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
21584329,289,,0,0,1,0,0,0,0,0,1,1,1,1,,,,
259363992,290,,0,0,2,0,0,0,0,0,1,1,2,2,,,,
198244622,291,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
"198,238,717,198,238,000",292,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
198238717,293,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
198244617,294,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244622,295,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244622,296,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
198244622,297,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
76767461,298,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18074629,299,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18074629,300,21,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767464,301,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18064241,302,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767460,303,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
335698793,304,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18066033,305,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18066033,306,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767470,307,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
6015514,308,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
148018380,309,10,0,0,0,0,0,0,0,0,0,1,0,1,,,,
496585860,310,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767460,311,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
409905928,312,5,2,2,0,0,0,0,0,0,2,1,2,2,4,4,4,4
507109684,313,5,2,2,0,0,0,0,0,0,1,1,2,2,2,2,2,2
224177093,314,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18072500,315,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18072500,316,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767464,317,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
21558655,318,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
6012601,319,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
42241064,320,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
21448740,321,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
21448740,322,,0,0,1,0,0,0,0,0,1,1,1,1,,,,
21550154,323,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
"2,145,226,421,448,740",324,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
21448740,325,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
21550156,326,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
39383033,327,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
51297547,328,5,0,1,0,0,0,0,0,0,1,1,1,1,,,,
78457702,329,5,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2
